The Economist,2002,Nonfiction,Deep in a Dream: The Long Night of Chet Baker,James Gavin,,
The Economist,2004,Nonfiction,Queen: The Life and Music of Dinah Washington,Nadine Cohodas,,
The Economist,2012,Nonfiction,On Warne,Gideon Haigh,,
The Economist,2010,Nonfiction,High Financier: The Lives and Time of Siegmund Warburg,Niall Ferguson,,
The Economist,2006,Nonfiction,Joe Wilson and the Creation of Xerox ,Charles D. Ellis,,
The Economist,2002,Nonfiction,Martha Inc: The Incredible Story of Martha Stewart Living Omnimedia,Christopher Byron,,
The Economist,2006,Nonfiction,Myself and Other More Important Matters ,Charles Handy,,
The Economist,2007,Nonfiction,The Billionaire Who Wasn't: How Chuck Feeney Secretly Made and Gave Away a Fortune, Conor O'Clery,,
The Economist,2004,Nonfiction,The King of Sunlight: How William Lever Cleaned Up the World,Adam Macqueen,,
The Economist,2003,Nonfiction,Khrushchev: The Man and His Era,William Taubman,,
The Economist,2012,Nonfiction,"The Passage of Power: The Years of Lyndon Johnson, Volume 4",Robert A. Caro,,
The Economist,2008,Nonfiction,The World Is What It Is: The Authorised Biography of V.S. Naipaul,Patrick French,,
The Economist,2005,Economics and Business,DisneyWar,James B. Stewart,,
The Economist,2009,Economics and Business,Poorly Made in China: An Insider's Account of the Tactics Behind China's Production Game,Paul Midler,,
The Economist,2012,Economics and Business,Private Empire: Exxon Mobil and American Power,Steve Coll,,
The Economist,2008,Economics and Business,The Partnership: The Making of Goldman Sachs,Charles D. Ellis,,
The Economist,2003,Economics and Business,The Recurrent Crisis in Corporate Governance, Paul MacAvoy,Ira Millstein,
The Economist,2005,Economics and Business,The Search: How Google and Its Rivals Rewrote the Rules of Business and Transformed Our Culture,John Battelle,,
The Economist,2008,Economics and Business,"The Trillion Dollar Meltdown: Easy Money, High Rollers, and the Great Credit Crash","Charles R. Morris

",,
The Economist,2006,Economics and Business,The Wal-Mart Effect: How the World's Most Powerful Company Really Works-and How It's Transforming the American Economy ,Charles Fishman.,,
The Economist,2011,Economics and Business,Money and Power: How Goldman Sachs Came to Rule the World,William D. Cohan,,
The Economist,2003,Economics and Business,Beyond the Core: Expand Your Market Without Abandoning Your Roots,Chris Zook,,
The Economist,2007,Economics and Business,Forces for Good: The Six Practices of High-Impact Nonprofits,Leslie R. Crutchfield,Heather McLeod Grant,
The Economist,2008,Economics and Business,Globality: Competing with Everyone from Everywhere for Everything,Hal Sirkin,Jim Hemerling,Arindam Bhattacharya
The Economist,2012,Economics and Business,Management in 10 Words,Terry Leahy,,
The Economist,2006,Economics and Business,Mavericks at Work: Why the Most Original Minds in Business Win ,William C. Taylor,Polly LaBarre,
The Economist,2007,Economics and Business,Super Crunchers: Why Thinking-by-Numbers Is the New Way to Be Smart,Ian Ayres,,
The Economist,2007,Economics and Business,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,,
The Economist,2004,Economics and Business,The Modern Firm: Organisational Design for Performance and Growth,John Roberts,,
The Economist,2012,Economics and Business,"The New Industrial Revolution: Consumers, Globalisation and the End of Mass Production",Peter Marsh,,
The Economist,2002,Economics and Business,What Management Is: How It Works and Why It's Everyone's Business,Joan Magretta,Nan Stone,
The Economist,2007,Economics and Business,Wikinomics: How Mass Collaboration Changes Everything,Don Tapscott,Anthondy D. Williams,
The Economist,2009,Nonfiction,When Brute Force Fails: How to Have Less Crime and Less Punishment,Mark Kleiman,,
The Economist,2011,Nonfiction,Iphigenia in Forest Hills: Anatomy of a Murder Trial,Janet Malcolm,,
